drug,feature,importance,type
Tamoxifen,203510_at,0.07037899,expression
Tamoxifen,202458_at,0.037464105,expression
Tamoxifen,204798_at,0.033025112,expression
Tamoxifen,214629_x_at,0.03242947,expression
Tamoxifen,200873_s_at,0.031660423,expression
Tamoxifen,201306_s_at,0.028415902,expression
Tamoxifen,214214_s_at,0.025861803,expression
Tamoxifen,203910_at,0.025403678,expression
Tamoxifen,201445_at,0.02437566,expression
Tamoxifen,211509_s_at,0.024234418,expression
Fulvestrant,202133_at,0.052466065,expression
Fulvestrant,202071_at,0.04893391,expression
Fulvestrant,203510_at,0.04877835,expression
Fulvestrant,203002_at,0.031833272,expression
Fulvestrant,200663_at,0.031345457,expression
Fulvestrant,212294_at,0.03106183,expression
Fulvestrant,217996_at,0.02285526,expression
Fulvestrant,222154_s_at,0.02280977,expression
Fulvestrant,211073_x_at,0.022764834,expression
Fulvestrant,200699_at,0.022222986,expression
Paclitaxel,200663_at,0.090250544,expression
Paclitaxel,208703_s_at,0.04105862,expression
Paclitaxel,200869_at,0.03902452,expression
Paclitaxel,210844_x_at,0.036507316,expression
Paclitaxel,202381_at,0.03416043,expression
Paclitaxel,202957_at,0.028649617,expression
Paclitaxel,213603_s_at,0.025132695,expression
Paclitaxel,208704_x_at,0.024930758,expression
Paclitaxel,221700_s_at,0.023412649,expression
Paclitaxel,201443_s_at,0.023241604,expression
Docetaxel,209008_x_at,0.04909151,expression
Docetaxel,203910_at,0.04255899,expression
Docetaxel,208703_s_at,0.033975333,expression
Docetaxel,200663_at,0.029767074,expression
Docetaxel,203510_at,0.028995939,expression
Docetaxel,201596_x_at,0.028336609,expression
Docetaxel,210844_x_at,0.027325992,expression
Docetaxel,208704_x_at,0.026781864,expression
Docetaxel,209120_at,0.025999544,expression
Docetaxel,202381_at,0.025888054,expression
Olaparib,201798_s_at,0.20622806,expression
Olaparib,203510_at,0.09934526,expression
Olaparib,202071_at,0.04113151,expression
Olaparib,200765_x_at,0.0395348,expression
Olaparib,200872_at,0.037813235,expression
Olaparib,208949_s_at,0.028196342,expression
Olaparib,201059_at,0.021952942,expression
Olaparib,203316_s_at,0.021025509,expression
Olaparib,200680_x_at,0.019728726,expression
Olaparib,201306_s_at,0.019225657,expression
Palbociclib,202071_at,0.06925291,expression
Palbociclib,200705_s_at,0.05369862,expression
Palbociclib,208764_s_at,0.039357077,expression
