drug,probe,importance
Tamoxifen,203510_at,0.07037899
Tamoxifen,202458_at,0.037464105
Tamoxifen,204798_at,0.033025112
Tamoxifen,214629_x_at,0.03242947
Tamoxifen,200873_s_at,0.031660423
Tamoxifen,201306_s_at,0.028415902
Tamoxifen,214214_s_at,0.025861803
Tamoxifen,203910_at,0.025403678
Tamoxifen,201445_at,0.02437566
Tamoxifen,211509_s_at,0.024234418
Fulvestrant,202133_at,0.052466065
Fulvestrant,202071_at,0.04893391
Fulvestrant,203510_at,0.04877835
Fulvestrant,203002_at,0.031833272
Fulvestrant,200663_at,0.031345457
Fulvestrant,212294_at,0.03106183
Fulvestrant,217996_at,0.02285526
Fulvestrant,222154_s_at,0.02280977
Fulvestrant,211073_x_at,0.022764834
Fulvestrant,200699_at,0.022222986
Paclitaxel,200663_at,0.090250544
Paclitaxel,208703_s_at,0.04105862
Paclitaxel,200869_at,0.03902452
Paclitaxel,210844_x_at,0.036507316
Paclitaxel,202381_at,0.03416043
Paclitaxel,202957_at,0.028649617
Paclitaxel,213603_s_at,0.025132695
Paclitaxel,208704_x_at,0.024930758
Paclitaxel,221700_s_at,0.023412649
Paclitaxel,201443_s_at,0.023241604
Docetaxel,209008_x_at,0.04909151
Docetaxel,203910_at,0.04255899
Docetaxel,208703_s_at,0.033975333
Docetaxel,200663_at,0.029767074
Docetaxel,203510_at,0.028995939
Docetaxel,201596_x_at,0.028336609
Docetaxel,210844_x_at,0.027325992
Docetaxel,208704_x_at,0.026781864
Docetaxel,209120_at,0.025999544
Docetaxel,202381_at,0.025888054
Olaparib,201798_s_at,0.20622806
Olaparib,203510_at,0.09934526
Olaparib,202071_at,0.04113151
Olaparib,200765_x_at,0.0395348
Olaparib,200872_at,0.037813235
Olaparib,208949_s_at,0.028196342
Olaparib,201059_at,0.021952942
Olaparib,203316_s_at,0.021025509
Olaparib,200680_x_at,0.019728726
Olaparib,201306_s_at,0.019225657
Palbociclib,202071_at,0.06925291
Palbociclib,200705_s_at,0.05369862
Palbociclib,208764_s_at,0.039357077
Palbociclib,200036_s_at,0.033187658
Palbociclib,200038_s_at,0.03065922
Palbociclib,212537_x_at,0.030242305
Palbociclib,211073_x_at,0.030028952
Palbociclib,200823_x_at,0.029102426
Palbociclib,200765_x_at,0.025774838
Palbociclib,200074_s_at,0.025625305
Alpelisib,221481_x_at,0.045017984
Alpelisib,201336_at,0.03459657
Alpelisib,211509_s_at,0.034322456
Alpelisib,40189_at,0.032289106
Alpelisib,212334_at,0.0312957
Alpelisib,212294_at,0.029070664
Alpelisib,200073_s_at,0.028247051
Alpelisib,210968_s_at,0.027371973
Alpelisib,217728_at,0.02676487
Alpelisib,200631_s_at,0.025123127
Lapatinib,208891_at,0.041558824
Lapatinib,201828_x_at,0.03949937
Lapatinib,213603_s_at,0.03510046
Lapatinib,217997_at,0.03487047
Lapatinib,212334_at,0.0324817
Lapatinib,200757_s_at,0.028646925
Lapatinib,217975_at,0.027776225
Lapatinib,208248_x_at,0.026139848
Lapatinib,201254_x_at,0.02538071
Lapatinib,202252_at,0.02516216
Afatinib,200757_s_at,0.09433698
Afatinib,200663_at,0.05556655
Afatinib,204141_at,0.042681698
Afatinib,204798_at,0.041229907
Afatinib,201254_x_at,0.03883175
Afatinib,200036_s_at,0.037980303
Afatinib,201288_at,0.028269568
Afatinib,212190_at,0.027273908
Afatinib,200782_at,0.025932513
Afatinib,212334_at,0.025467016
Erlotinib,204141_at,0.045191877
Erlotinib,212958_x_at,0.038172647
